Little White Lies|7.594334|2010
Love & Other Drugs|7.575696|2010
Gulliver's Travels|7.565799|2010
Barney's Version|7.524794|2010
Repo Men|7.502967|2010
Ramona and Beezus|7.467591|2010
Valentine's Day|7.466721|2010
Leap Year|7.432311|2010
Buried|7.389437|2010
Paranormal Activity 2|7.388933|2010
Shanghai|7.370332|2010
Get Him to the Greek|7.33335|2010
30 Days of Night: Dark Days|7.320221|2010
Nude Nuns With Big Guns|7.31941|2010
Letters to Juliet|7.282488|2010
Womb|7.279917|2010
Winter's Bone|7.27941|2010
The American|7.275649|2010
Sex and the City 2|7.255991|2010
Passion Play|7.230431|2010
Detective Dee and the Mystery of the Phantom Flame|7.17548|2010
Black Venus|7.145871|2010
Biutiful|7.131568|2010
The Way|7.131032|2010
Tracker|7.12869|2010
Machete|7.120403|2010
Somewhere|7.098301|2010
Devil|7.094276|2010
Burnt by the Sun 2: Intercession|7.091212|2010
Batman: Under the Red Hood|7.039325|2010
Lake Placid 3|7.030888|2010
Triple Dog|7.021114|2010
Rabbit Hole|7.007993|2010
Mega Shark vs. Crocosaurus|7.006573|2010
Takers|7.000421|2010
Sorry if I Want to Marry You|6.994235|2010
Unthinkable|6.983803|2010
Norwegian Wood|6.972723|2010
The Illusionist|6.971611|2010
The Round Up|6.951496|2010
Scooby-Doo! Abracadabra-Doo|6.945449|2010
And Soon the Darkness|6.904518|2010
From Paris with Love|6.885593|2010
The First Beautiful Thing|6.883023|2010
Going the Distance|6.876053|2010
Barbie in A Mermaid Tale|6.833148|2010
Legend of the BoneKnapper Dragon|6.816869|2010
Twelve|6.782478|2010
Tucker and Dale vs Evil|6.771868|2010
The Ghost Writer|6.76482|2010
Tooth Fairy|6.74468|2010
Beginners|6.72639|2010
Lottery Ticket|6.720886|2010
The Bounty Hunter|6.715263|2010
Main Street|6.713351|2010
Wild Target|6.712894|2010
The Extraordinary Adventures of Ad̬le Blanc-Sec|6.710598|2010
Welcome to the South|6.700081|2010
22 Bullets|6.69573|2010
The Spy Next Door|6.663422|2010
The Back-Up Plan|6.629999|2010
Christmas Cupid|6.622907|2010
Mega Piranha|6.600017|2010
Yogi Bear|6.598296|2010
Killers|6.540621|2010
Extraordinary Measures|6.523155|2010
Bunraku|6.475676|2010
Born to Raise Hell|6.407803|2010
The Last Exorcism|6.397109|2010
Bedevilled|6.375628|2010
You Will Meet a Tall Dark Stranger|6.36477|2010
Jackboots on Whitehall|6.356866|2010
Outrage|6.355452|2010
Day & Night|6.345512|2010
The Killer Inside Me|6.324751|2010
Fair Game|6.303785|2010
Three Steps Above Heaven|6.28597|2010
Charlie St. Cloud|6.273131|2010
The Other Woman|6.212898|2010
Room in Rome|6.206694|2010
Legend of the Fist: The Return of Chen Zhen|6.183418|2010
Welcome to the Rileys|6.182802|2010
Jesse Stone: No Remorse|6.171229|2010
13Hrs|6.156071|2010
Monsters|6.154375|2010
The 41���Year���Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It|6.138381|2010
Once Fallen|6.128473|2010
The Heavy|6.120644|2010
Justice League: Crisis on Two Earths|6.108241|2010
Smokin' Aces 2: Assassins' Ball|6.102148|2010
Kites|6.100998|2010
Troll Hunter|6.097684|2010
The Pacific|6.092242|2010
Sarah's Key|6.091224|2010
The Drawn Together Movie: The Movie!|6.088599|2010
Hunt to Kill|6.043774|2010
Peacock|6.013545|2010
Tinker Bell and the Great Fairy Rescue|5.963431|2010
The Perfect Teacher|5.959698|2010
Banana|5.958505|2010
Mirrors 2|5.936241|2010
The Perfect Host|5.935839|2010
Five Minarets in New York|5.92925|2010
BloodRayne: The Third Reich|5.926797|2010
Trophy Wife|5.899325|2010
The Kids Are All Right|5.899155|2010
Hesher|5.886972|2010
Confessions|5.882762|2010
Superman/Batman: Apocalypse|5.860115|2010
The Company Men|5.858803|2010
Oranges and Sunshine|5.829953|2010
Going Postal|5.818278|2010
4.3.2.1|5.805666|2010
Beauty & the Briefcase|5.794289|2010
Planet Hulk|5.769957|2010
Harriet the Spy: Blog Wars|5.765804|2010
The Cutting Edge: Fire & Ice|5.749906|2010
The Ward|5.727987|2010
The Switch|5.695408|2010
The Boy Who Cried Werewolf|5.686871|2010
Beneath Hill 60|5.661077|2010
Loose Cannons|5.633243|2010
Please Give|5.630136|2010
Point Blank|5.578585|2010
Heartbreaker|5.546687|2010
The Last Song|5.541073|2010
The Warrior's Way|5.510805|2010
Heartbeats|5.483163|2010
The Conspirator|5.481452|2010
How Do You Know|5.458387|2010
StarStruck|5.458241|2010
Kaboom|5.44702|2010
Howl|5.416588|2010
Beneath the Dark|5.415284|2010
Boy Wonder|5.376548|2010
Bereavement|5.319254|2010
Rubber|5.305905|2010
My Soul to Take|5.282976|2010
Arctic Blast|5.270343|2010
I'm Still Here|5.268636|2010
X|5.257968|2010
Space Battleship Yamato|5.23198|2010
Our Day Will Come|5.208243|2010
Exit Through the Gift Shop|5.188466|2010
Catfish|5.174738|2010
Mother's Day|5.165083|2010
Men Vs Women|5.146043|2010
Henry's Crime|5.145185|2010
Daydream Nation|5.116632|2010
Dog Pound|5.059285|2010
Wrecked|5.053905|2010
Julia's Eyes|5.020398|2010
Another Year|5.000657|2010
Tomorrow, When the War Began|4.983475|2010
Avalon High|4.96893|2010
All That Glitters|4.930447|2010
The Clinic|4.927278|2010
Small Town Saturday Night|4.922475|2010
Three|4.898882|2010
The Last Circus|4.896196|2010
Sintel|4.874409|2010
16 Wishes|4.869925|2010
Legacy|4.866221|2010
Camp Rock 2: The Final Jam|4.834304|2010
Not the Messiah (He's a Very Naughty Boy)|4.829942|2010
Dabangg|4.810413|2010
The Names of Love|4.786783|2010
Everything Must Go|4.779994|2010
We Are the Night|4.767937|2010
Temple Grandin|4.762242|2010
Love Ranch|4.753132|2010
Scared Shrekless|4.739649|2010
My Afternoons with Margueritte|4.730143|2010
Meek's Cutoff|4.725763|2010
Altitude|4.715525|2010
Matching Jack|4.707311|2010
Little Big Soldier|4.691882|2010
Get Low|4.678848|2010
Paranormal Activity: Tokyo Night|4.677365|2010
Minions: Orientation Day|4.662093|2010
The Disappearance of Haruhi Suzumiya|4.655416|2010
LelleBelle|4.653678|2010
Norman|4.62403|2010
The Chameleon|4.582976|2010
Country Strong|4.582024|2010
Virginia|4.579336|2010
Restrepo|4.577881|2010
The Yellow Sea|4.573242|2010
Carlos|4.558075|2010
Exorcismus|4.535245|2010
Rare Exports: A Christmas Tale|4.51319|2010
Cave of Forgotten Dreams|4.508588|2010
Of Gods and Men|4.476836|2010
Beatdown|4.476116|2010
Toast|4.456701|2010
Beyond the Black Rainbow|4.441525|2010
Miral|4.435032|2010
True Legend|4.434924|2010
Single By Contract|4.366954|2010
Titanic 2|4.359886|2010
House of Bones|4.347087|2010
Gasland|4.334953|2010
New Kids Turbo|4.330658|2010
Enthiran|4.330396|2010
Made in Dagenham|4.326838|2010
StreetDance 3D|4.290276|2010
Barbie: A Fashion Fairytale|4.287613|2010
The Housemaid|4.26424|2010
Behind Blue Skies|4.200146|2010
Atrocious|4.194524|2010
Ceremony|4.186599|2010
King of Devil's Island|4.167899|2010
Inhale|4.163207|2010
Game of Death|4.145285|2010
